unique_carrier,year,month,total_gallons
N8,2019,6,547775
N8,2019,7,895061
N8,2019,8,111071
N8,2019,9,392264
NC,2018,1,477375
NC,2018,2,436015
NC,2018,3,559269
NC,2018,4,
NC,2018,5,449176
NC,2018,6,532920
NC,2018,7,556701
NC,2018,8,529533
NC,2018,9,471127
NC,2018,10,447821
NC,2018,11,389857
NC,2018,12,401947
NC,2019,1,388494
NC,2019,2,282780
NC,2019,3,328645
NC,2019,4,322129
NC,2019,5,210015
NC,2019,6,407071
NC,2019,7,421503
NC,2019,8,465418
NC,2019,9,368557
NK,2018,1,31610455
NK,2018,2,29759661
NK,2018,3,33632951
NK,2018,4,33991969
NK,2018,5,35521961
NK,2018,6,36629663
NK,2018,7,38797091
NK,2018,8,38981961
NK,2018,9,31825718
NK,2018,10,31720179
NK,2018,11,33984164
NK,2018,12,35890659
NK,2019,1,35862515
NK,2019,2,33590996
NK,2019,3,40374673
NK,2019,4,38671302
NK,2019,5,42123364
NK,2019,6,41652339
NK,2019,7,43349064
NK,2019,8,42824559
NK,2019,9,35898679
OH,2018,1,0
OH,2018,2,0
OH,2018,3,0
OH,2018,4,0
OH,2018,5,0
OH,2018,6,0
OH,2018,7,0
OH,2018,8,0
OH,2018,9,0
OH,2018,10,0
OH,2018,11,0
OH,2018,12,0
OH,2019,1,0
OH,2019,2,0
OH,2019,3,0
OH,2019,4,0
OH,2019,5,0
OH,2019,6,0
OH,2019,7,0
OH,2019,8,0
OH,2019,9,0
OO,2018,1,7718601
OO,2018,2,7207367
OO,2018,3,8110361
OO,2018,4,7897373
OO,2018,5,8257547
OO,2018,6,8108076
OO,2018,7,8254370
OO,2018,8,8454586
OO,2018,9,8231728
OO,2018,10,8642187
OO,2018,11,8304103
OO,2018,12,8477821
OO,2019,1,8150037
OO,2019,2,7503491
OO,2019,3,8558824
OO,2019,4,8262780
OO,2019,5,8838081
OO,2019,6,8915291
OO,2019,7,9566241
OO,2019,8,8790766
OO,2019,9,8834786
PFQ,2018,1,383900
PFQ,2018,2,303623
PFQ,2018,3,312777
PFQ,2018,4,280011
PFQ,2018,5,323522
PFQ,2018,6,259521
PFQ,2018,7,305634
PFQ,2018,8,415690
PFQ,2018,9,346443
PFQ,2018,10,363731
PFQ,2018,11,377504
PFQ,2018,12,460223
PFQ,2019,1,330575
PFQ,2019,2,355981
PFQ,2019,3,368456
PFQ,2019,4,389461
PFQ,2019,5,363290
PFQ,2019,6,333834
PFQ,2019,7,421335
PFQ,2019,8,386916
PFQ,2019,9,351884
PO,2018,1,14979008
PO,2018,2,12413729
PO,2018,3,16963787
PO,2018,4,15277605
PO,2018,5,15928600
PO,2018,6,15691536
PO,2018,7,16608663
PO,2018,8,15917705
PO,2018,9,16470979
PO,2018,10,16410293
PO,2018,11,16964007
PO,2018,12,17223580
PO,2019,1,17207874
PO,2019,2,12487485
PO,2019,3,16234745
PO,2019,4,14046615
PO,2019,5,15238412
PO,2019,6,15452032
PO,2019,7,14441648
PO,2019,8,12251784
PO,2019,9,11916669
QX,2018,1,0
QX,2018,2,0
QX,2018,3,0
QX,2018,4,0
QX,2018,5,0
QX,2018,6,0
QX,2018,7,0
QX,2018,8,0
QX,2018,9,0
QX,2018,10,0
QX,2018,11,0
QX,2018,12,0
QX,2019,1,0
QX,2019,2,0
QX,2019,3,0
QX,2019,4,0
QX,2019,5,0
QX,2019,6,0
QX,2019,7,0
QX,2019,8,0
QX,2019,9,0
SY,2018,1,5143248
SY,2018,2,5841653
SY,2018,3,6649322
SY,2018,4,4973037
SY,2018,5,4096753
SY,2018,6,5064157
SY,2018,7,5388238
SY,2018,8,5215424
SY,2018,9,
SY,2018,10,
SY,2018,11,
SY,2018,12,
SY,2019,1,
SY,2019,2,6066430
SY,2019,3,7433108
SY,2019,4,5793765
SY,2019,5,5448107
SY,2019,6,7169426
SY,2019,7,5199530
SY,2019,8,7081536
SY,2019,9,5107989
U7,2018,1,342438
U7,2018,2,427634
U7,2018,3,679521
U7,2018,4,366936
U7,2018,5,479620
U7,2018,6,584082
U7,2018,7,518242
U7,2018,8,596423
U7,2018,9,527074
U7,2018,10,778368
U7,2018,11,759632
U7,2018,12,678700
U7,2019,1,507669
U7,2019,2,514896
U7,2019,3,786265
U7,2019,4,294896
U7,2019,5,326992
U7,2019,6,462561
U7,2019,7,306516
U7,2019,8,500372
U7,2019,9,503668
UA,2018,1,255982076
UA,2018,2,235462750
UA,2018,3,279322735
UA,2018,4,278073721
UA,2018,5,296411789
UA,2018,6,311227302
UA,2018,7,326481257
UA,2018,8,319004221
UA,2018,9,285283544
UA,2018,10,295868516
UA,2018,11,273800459
UA,2018,12,288756890
UA,2019,1,270112946
UA,2019,2,244752372
UA,2019,3,297848082
UA,2019,4,289084422
UA,2019,5,309415363
UA,2019,6,320238151
UA,2019,7,328989147
UA,2019,8,324688428
UA,2019,9,292912423
WI,2018,1,2131746
WI,2018,2,1690406
WI,2018,3,2109389
WI,2018,4,1738290
WI,2018,5,2604629
WI,2018,6,1193725
WI,2018,7,1795795
WI,2018,8,2635949
WI,2018,9,2487343
WI,2018,10,854555
WI,2018,11,681000
WI,2018,12,788547
WI,2019,1,1329432
WI,2019,2,982250
WI,2019,3,1343397
WI,2019,4,1803776
WI,2019,5,1223432
WI,2019,6,566138
WI,2019,7,727737
WI,2019,8,908243
WI,2019,9,1083142
WL,2018,1,82388
WL,2018,2,61164
WL,2018,3,46314
WL,2018,4,52463
WL,2018,5,78656
WL,2018,6,201955
WL,2018,7,286478
WL,2018,8,83462
WL,2018,9,286478
WL,2018,10,35612
WL,2018,11,50239
WL,2018,12,64970
WL,2019,1,47941
WL,2019,2,26298
WL,2019,3,59090
WL,2019,4,79328
WL,2019,5,294940
WL,2019,6,293553
WL,2019,7,132582
WL,2019,8,107448
WL,2019,9,54268
WN,2018,1,163167179
WN,2018,2,147043749
WN,2018,3,179607460
WN,2018,4,176668524
WN,2018,5,181840135
WN,2018,6,185129904
WN,2018,7,192090791
WN,2018,8,179609720
WN,2018,9,164189029
WN,2018,10,176928962
WN,2018,11,175169115
WN,2018,12,175889193
WN,2019,1,164881708
WN,2019,2,148670558
WN,2019,3,180277656
WN,2019,4,173423712
WN,2019,5,179914831
WN,2019,6,179131347
WN,2019,7,185099344
WN,2019,8,176971032
WN,2019,9,162505172
X9,2018,1,3067287
X9,2018,2,3435632
X9,2018,3,3659123
X9,2018,4,3762178
X9,2018,5,3682270
X9,2018,6,3994567
X9,2018,7,3895754
X9,2018,8,3633958
X9,2018,9,3417228
X9,2018,10,5036755
X9,2018,11,3646422
X9,2018,12,2531738
X9,2019,1,4086224
X9,2019,2,3605900
X9,2019,3,3930718
X9,2019,4,4018053
X9,2019,5,3304549
X9,2019,6,3496231
X9,2019,7,4137049
X9,2019,8,3363696
X9,2019,9,3943414
XP,2018,1,550328
XP,2018,2,449567
XP,2018,3,502741
XP,2018,4,263082
XP,2018,5,128273
XP,2018,6,0
XP,2018,7,0
XP,2018,8,0
XP,2018,9,0
XP,2018,11,1581
XP,2018,12,0
XP,2019,1,2501
XP,2019,2,2851
XP,2019,3,0
XP,2019,4,0
XP,2019,5,0
XP,2019,6,0
XP,2019,7,0
XP,2019,8,0
XP,2019,9,0
YV,2018,1,0
YV,2018,2,0
YV,2018,3,0
YV,2018,4,0
YV,2018,5,0
YV,2018,6,0
YV,2018,7,0
YV,2018,8,0
YV,2018,9,0
YV,2018,10,0
YV,2018,11,0
YV,2018,12,0
YV,2019,1,0
YV,2019,2,0
YV,2019,3,0
YV,2019,4,0
YV,2019,5,0
YV,2019,6,0
YV,2019,7,0
YV,2019,8,0
YV,2019,9,0
YX,2018,1,22451
YX,2018,2,22181
YX,2018,3,21202
YX,2018,4,33454
YX,2018,5,30609
YX,2018,6,15754
YX,2018,7,28582
YX,2018,8,32883
YX,2018,9,31165
YX,2018,10,27692
YX,2018,11,39717
YX,2018,12,21048
YX,2019,1,20121
YX,2019,2,41318
YX,2019,3,13935
YX,2019,4,13919
YX,2019,5,18888
YX,2019,6,18137
YX,2019,7,27361
YX,2019,8,22245
YX,2019,9,22895
